"","phylum","gene","description"
"3111","proteobacteria","FIG00482522","FIG00482524: hypothetical protein"
"3112","proteobacteria","FIG00454931","FIG00454932: hypothetical protein"
"3113","proteobacteria","FIG00004786","Adenylate cyclase (EC 4.6.1.1) / Guanylate cyclase (EC 4.6.1.2)"
"3114","proteobacteria","FIG00058943","Methanol dehydrogenase large subunit protein (EC 1.1.99.8)"
"3115","proteobacteria","FIG00984128","FIG00984129: hypothetical protein"
"3116","proteobacteria","FIG00482247","FIG00482248: hypothetical protein"
"3117","proteobacteria","FIG00985652",NA
"3118","proteobacteria","FIG00481500","FIG010505: hypothetical protein"
"3119","proteobacteria","FIG00465823","FIG00465826: hypothetical protein"
"3120","proteobacteria","FIG01005196","FIG00853591: hypothetical protein"
"3121","proteobacteria","FIG00464889","FIG00464892: hypothetical protein"
"3122","proteobacteria","FIG00134722","Protein serine/threonine phosphatase PrpC, regulation of stationary phase"
"3123","proteobacteria","FIG00001221","Alkanesulfonates-binding protein"
"3124","proteobacteria","FIG00452546","FIG00452548: hypothetical protein"
"3125","proteobacteria","FIG00794845","FIG00794846: hypothetical protein"
"3126","proteobacteria","FIG00794846","FIG00794847: hypothetical protein"
"3127","proteobacteria","FIG00483037","FIG00483042: hypothetical protein"
"3128","proteobacteria","FIG00446463","FIG00446465: hypothetical protein"
"3129","proteobacteria","FIG00481880","FIG00481883: hypothetical protein"
"3130","proteobacteria","FIG01893907","putative inner membrane transport permease"
"3131","proteobacteria","FIG00956615",NA
"3132","proteobacteria","FIG00482344","FIG00482348: hypothetical protein"
"3133","proteobacteria","FIG00441111","FIG00441112: hypothetical protein"
"3134","proteobacteria","FIG00984723","FIG00984727: hypothetical protein"
"3135","proteobacteria","FIG00792656","FIG00792659: hypothetical protein"
"3136","proteobacteria","FIG00985093","FIG00985095: hypothetical protein"
"3137","proteobacteria","FIG00827812","nitrilotriacetate monooxygenase component A"
"3138","proteobacteria","FIG01840398","putative phosphoprotein phosphatase"
"3139","proteobacteria","FIG00791682","FIG00791683: hypothetical protein"
"3140","proteobacteria","FIG00986019","putative dehydrogenases"
"3141","proteobacteria","FIG01006997","FIG01006998: hypothetical protein"
"3142","proteobacteria","FIG00461961","FIG00461962: hypothetical protein"
"3143","proteobacteria","FIG00481705","FIG00481710: hypothetical protein"
"3144","proteobacteria","FIG00453242","FIG00453243: hypothetical protein"
"3145","proteobacteria","FIG00482842","FIG00482844: hypothetical protein"
"3146","proteobacteria","FIG00984263",NA
"3147","proteobacteria","FIG00464928","FIG00464933: hypothetical protein"
"3148","proteobacteria","FIG00444077","FIG00444079: hypothetical protein"
"3149","proteobacteria","FIG00140889","Distant similarity with leukotriene C4 synthase (microsomal glutathione S-transferase)"
"3150","proteobacteria","FIG00015670","C4 aminotransferase specific for PseB product (PseC, second step of pseudaminic acid biosynthesis)"
"3151","proteobacteria","FIG00452795","FIG00452798: hypothetical protein"
"3152","proteobacteria","FIG00453770","FIG00453772: hypothetical protein"
"3153","proteobacteria","FIG00791803","FIG00791808: hypothetical protein"
"3154","proteobacteria","FIG00441094","bll5334; probable nucleic-acid-binding protein containing a Zn-ribbon"
"3155","proteobacteria","FIG00441093","bll6500; unknown protein"
"3156","proteobacteria","FIG00439529","Phytochrome-like protein; Cph2"
"3157","proteobacteria","FIG00452804","FIG00452805: hypothetical protein"
"3158","proteobacteria","FIG00792755","FIG00792758: hypothetical protein"
"3159","proteobacteria","FIG01441083","FeoA family protein"
"3160","proteobacteria","FIG00511283","FIG00537953: hypothetical protein"
"3161","proteobacteria","FIG00443036","Dimethylhistidine N-methyltransferase"
"3162","proteobacteria","FIG00794083","binding protein component precursor of ABC ribose transporter"
"3163","proteobacteria","FIG00439623","FIG01006414: hypothetical protein"
"3164","proteobacteria","FIG00130057","Heme d1 biosynthesis protein NirL"
"3165","proteobacteria","FIG00028342","Two-component oxygen-sensor histidine kinase FixL"
"3166","proteobacteria","FIG00025049","Predicted transcriptional regulator of 4-carboxymuconolactone decarboxylase, Rrf2 family"
"3167","proteobacteria","FIG01143596","CBS-domain-containing protein"
"3168","proteobacteria","FIG01955803","NAD-dependent formate dehydrogenase gamma subunit"
"3169","proteobacteria","FIG01517684",NA
"3170","proteobacteria","FIG00794147","FIG00794149: hypothetical protein"
"3171","proteobacteria","FIG01382398","Arylamine N-acetyltransferase (EC 2.3.1.5)"
"3172","proteobacteria","FIG00481946","FIG00481947: hypothetical protein"
"3173","proteobacteria","FIG00792592","FIG00792593: hypothetical protein"
"3174","proteobacteria","FIG00440745","Bll3066 protein"
"3175","proteobacteria","FIG01696430","protein of unknown function DUF1470"
"3176","proteobacteria","FIG01043354","TOMM biosynthesis cyclodehydratase (protein C) / TOMM biosynthesis docking scaffold (protein D)"
"3177","proteobacteria","FIG00483891","FIG00483892: hypothetical protein"
"3178","proteobacteria","FIG00455488","Uncharacterized protein conserved in bacteria, putative lipoprotein"
"3179","proteobacteria","FIG00459446","FIG00459447: hypothetical protein"
"3180","proteobacteria","FIG01004240","FIG01004241: hypothetical protein"
"3181","proteobacteria","FIG00019175","FIG019175: putative membrane protein"
"3182","proteobacteria","FIG01349580","NADH:flavin oxidoreductases, Old Yellow Enzyme family"
"3183","proteobacteria","FIG00019954","Protein phosphatase ImpM"
"3184","proteobacteria","FIG00481800","FIG00481802: hypothetical protein"
"3185","proteobacteria","FIG00795173","FIG00795176: hypothetical protein"
"3186","proteobacteria","FIG00795177","probable RNA polymerase sigma subunit"
"3187","proteobacteria","FIG00043116","Homocitrate synthase (EC 2.3.3.14)"
"3188","proteobacteria","FIG00792968","FIG00792971: hypothetical protein"
"3189","proteobacteria","FIG00483136","FIG00483140: hypothetical protein"
"3190","proteobacteria","FIG00792389","FIG00792390: hypothetical protein"
"3191","proteobacteria","FIG00483510","FIG00483511: hypothetical protein"
"3192","proteobacteria","FIG00792136","dimethylaniline monooxygenase"
"3193","proteobacteria","FIG00791606","FIG00791607: hypothetical protein"
"3194","proteobacteria","FIG00791603","FIG00791604: hypothetical protein"
"3195","proteobacteria","FIG01005034","Bll5176 protein"
"3196","proteobacteria","FIG01960255",NA
"3197","proteobacteria","FIG00453866","FIG00453867: hypothetical protein"
"3198","proteobacteria","FIG01470145","FIG00348156: hypothetical protein"
"3199","proteobacteria","FIG00555711","FIG006442: Integral membrane protein"
"3200","proteobacteria","FIG00984009","FIG00986617: hypothetical protein"
"3201","proteobacteria","FIG00984005","FIG00984006: hypothetical protein"
"3202","proteobacteria","FIG00480990","FIG00480992: hypothetical protein"
"3203","proteobacteria","FIG00481637","FIG00481638: hypothetical protein"
"3204","proteobacteria","FIG00005416","ABC-type Fe3+ transport system, periplasmic component"
"3205","proteobacteria","FIG01005311","FIG01005313: hypothetical protein"
"3206","proteobacteria","FIG00780085","blr6126; hypothetical protein"
"3207","proteobacteria","FIG01503710","cell wall hydrolase/autolysin"
"3208","proteobacteria","FIG00008396","Aquaporin Z"
"3209","proteobacteria","FIG00002660","1,2-dihydroxycyclohexa-3,5-diene-1-carboxylate dehydrogenase (EC 1.3.1.25)"
"3210","proteobacteria","FIG01360335","Aromatic amino acid ammonia-lyase family"
"3211","proteobacteria","FIG00001504","Serine--glyoxylate aminotransferase (EC 2.6.1.45)"
"3212","proteobacteria","FIG00442510","probable 1,4-butanediol diacrylate esterase"
"3213","proteobacteria","FIG00791885","FIG00791887: hypothetical protein"
"3214","proteobacteria","FIG00582056","FIG00715336: hypothetical protein"
"3215","proteobacteria","FIG00793958","FIG00793962: hypothetical protein"
"3216","proteobacteria","FIG00043329","DNA-binding domain of ModE"
"3217","proteobacteria","FIG00794079","FIG00794080: hypothetical protein"
"3218","proteobacteria","FIG00441019","FIG00441021: hypothetical protein"
"3219","proteobacteria","FIG00793229","FIG00793230: hypothetical protein"
"3220","proteobacteria","FIG00483495","FIG00483500: hypothetical protein"
"3221","proteobacteria","FIG00481654","Chemoreceptor mcpA (Methyl-accepting chemotaxis protein)"
"3222","proteobacteria","FIG00456992","FIG00456993: hypothetical protein"
"3223","proteobacteria","FIG00027115","FIG027115: Membrane protein"
"3224","proteobacteria","FIG00002464","NAD-dependent formate dehydrogenase beta subunit"
"3225","proteobacteria","FIG01210718","Regulatory protein virG"
"3226","proteobacteria","FIG00984638","FIG00984639: hypothetical protein"
"3227","proteobacteria","FIG00483221","FIG00483222: hypothetical protein"
"3228","proteobacteria","FIG01005520","bll5772; hypothetical protein"
"3229","proteobacteria","FIG00456691","FIG00456693: hypothetical protein"
"3230","proteobacteria","FIG01136138","metallo-beta-lactamase family protein, putative"
"3231","proteobacteria","FIG00456524","FIG00456525: hypothetical protein"
"3232","proteobacteria","FIG00003477","Indoleacetamide hydrolase (EC 3.5.1.-)"
"3233","proteobacteria","FIG00482036","FIG00482041: hypothetical protein"
"3234","proteobacteria","FIG00440213","ABC transporter HlyB/MsbA family"
"3235","proteobacteria","FIG00852291","Bll5862 protein"
"3236","proteobacteria","FIG00444240","Bll4147 protein"
"3237","proteobacteria","FIG00481417","FIG00481418: hypothetical protein"
"3238","proteobacteria","FIG00458592","FIG00458593: hypothetical protein"
"3239","proteobacteria","FIG00483101","FIG00483103: hypothetical protein"
"3240","proteobacteria","FIG00984433","FIG00984434: hypothetical protein"
"3241","proteobacteria","FIG00985528",NA
"3242","proteobacteria","FIG00440151","Bll5849 protein"
"3243","proteobacteria","FIG00000490","Queuosine Biosynthesis QueE Radical SAM"
"3244","proteobacteria","FIG01004822","Bll5501 protein"
"3245","proteobacteria","FIG00453615","FIG00453616: hypothetical protein"
"3246","proteobacteria","FIG01392972","Mlr1652 protein"
"3247","proteobacteria","FIG00015533","Thiosulfate reductase cytochrome B subunit (membrane anchoring protein)"
"3248","proteobacteria","FIG01332204","Transcription regulatory protein opdE"
"3249","proteobacteria","FIG00482170","FIG00482172: hypothetical protein"
"3250","proteobacteria","FIG00814692","putative serine protease"
"3251","proteobacteria","FIG01335934","Acetoacetate decarboxylase (EC 4.1.1.4)"
"3252","proteobacteria","FIG00794541","FIG00794542: hypothetical protein"
"3253","proteobacteria","FIG00794542","FIG00794543: hypothetical protein"
"3254","proteobacteria","FIG00482954","FIG00482961: hypothetical protein"
"3255","proteobacteria","FIG00441700","FIG00441701: hypothetical protein"
"3256","proteobacteria","FIG00441709","FIG01004502: hypothetical protein"
"3257","proteobacteria","FIG01319420",NA
"3258","proteobacteria","FIG00983619","ABC transporter sugar permease protein ycjO"
"3259","proteobacteria","FIG00480846","glutathione S-transferase, putative"
"3260","proteobacteria","FIG00480842","FIG00480843: hypothetical protein"
"3261","proteobacteria","FIG00138613","4-hydroxyphenylacetate 3-monooxygenase (EC 1.14.13.3)"
"3262","proteobacteria","FIG00461400","FIG00461401: hypothetical protein"
"3263","proteobacteria","FIG01005920","InterPro IPR002085 COGs COG0604"
"3264","proteobacteria","FIG01076602","FIG01076605: hypothetical protein"
"3265","proteobacteria","FIG00767745","surface antigen"
"3266","proteobacteria","FIG00445890","FIG00445893: hypothetical protein"
"3267","proteobacteria","FIG00431760","ABC-type branched-chain amino acid transport systems, ATPase component"
"3268","proteobacteria","FIG00715305","Formyl-coenzyme A transferase (EC 2.8.3.16)"
"3269","proteobacteria","FIG00481299","FIG00481300: hypothetical protein"
"3270","proteobacteria","FIG00481300",NA
"3271","proteobacteria","FIG00481302","FIG00481306: hypothetical protein"
"3272","proteobacteria","FIG00440588","Bll5714 protein"
"3273","proteobacteria","FIG00792177",NA
"3274","proteobacteria","FIG00792175","FIG00792177: hypothetical protein"
"3275","proteobacteria","FIG00792170",NA
"3276","proteobacteria","FIG00137670",NA
"3277","proteobacteria","FIG00442986","FIG00442991: hypothetical protein"
"3278","proteobacteria","FIG01348513","Purine nucleoside phosphorylase"
"3279","proteobacteria","FIG00986577","putative aldolase"
"3280","proteobacteria","FIG00461067","FIG00461068: hypothetical protein"
"3281","proteobacteria","FIG01955862","Aspartate racemase"
"3282","proteobacteria","FIG00984320","FIG00984321: hypothetical protein"
"3283","proteobacteria","FIG00984327","Putrescine transport system permease protein potI"
"3284","proteobacteria","FIG00801945","FIG00801946: hypothetical protein"
"3285","proteobacteria","FIG01177076","cation antiporter"
"3286","proteobacteria","FIG00006874","Aromatic hydrocarbon utilization transcriptional regulator CatR (LysR family)"
"3287","proteobacteria","FIG00455025",NA
"3288","proteobacteria","FIG00443709","Bll7976 protein"
"3289","proteobacteria","FIG01343672","hypothetical membrane associated protein"
"3290","proteobacteria","FIG01004336","Mlr2033 protein"
"3291","proteobacteria","FIG00933172","FIG00933173: hypothetical protein"
"3292","proteobacteria","FIG00143043","2-chlorobenzoate 1,2-dioxygenase reductase component"
"3293","proteobacteria","FIG00149005","mRNA 3-end processing factor"
"3294","proteobacteria","FIG00439877","Two-component transcriptional regulator, winged helix family"
"3295","proteobacteria","FIG01107919",NA
"3296","proteobacteria","FIG01369175","FIG00792857: hypothetical protein"
"3297","proteobacteria","FIG01009005","FIG01009008: hypothetical protein"
"3298","proteobacteria","FIG00441355","Probable tautomerase bsl7456 (EC 5.3.2.-)"
"3299","proteobacteria","FIG00853062","Bll1031 protein"
"3300","proteobacteria","FIG00482278","FIG00482279: hypothetical protein"
"3301","proteobacteria","FIG00985306","CheX protein"
"3302","proteobacteria","FIG01438265","ribosomal protein, putative"
"3303","proteobacteria","FIG00009455","Epoxide hydrolase (EC 3.3.2.9)"
"3304","proteobacteria","FIG01766991","FIG00348290: hypothetical protein"
"3305","proteobacteria","FIG01006607","FIG01006608: hypothetical protein"
"3306","proteobacteria","FIG00556060","FIG00556062: hypothetical protein"
"3307","proteobacteria","FIG01494310","ubiquinone/menaquinone biosynthesis methyltransferase"
"3308","proteobacteria","FIG00793803","FIG00793804: hypothetical protein"
"3309","proteobacteria","FIG00793804","FIG00793806: hypothetical protein"
"3310","proteobacteria","FIG00793806","FIG00793807: hypothetical protein"
"3311","proteobacteria","FIG00678623",NA
"3312","proteobacteria","FIG00984177","Mlr7505 protein"
"3313","proteobacteria","FIG01004511","Glycerol-3-phosphate transport-related protein GlpU"
"3314","proteobacteria","FIG01357479",NA
"3315","proteobacteria","FIG00440185","InterPro IPR002668 COGs COG1972"
"3316","proteobacteria","FIG00483140","FIG00483142: hypothetical protein"
"3317","proteobacteria","FIG00483143","FIG00483145: hypothetical protein"
"3318","proteobacteria","FIG00958704","Baseplate assembly protein W"
"3319","proteobacteria","FIG00049519","Cytochrome c heme lyase subunit CcmH"
"3320","proteobacteria","FIG01075150","FIG01075153: hypothetical protein"
"3321","proteobacteria","FIG00464855","FIG00464856: hypothetical protein"
"3322","proteobacteria","FIG00986320","FIG00986323: hypothetical protein"
"3323","proteobacteria","FIG00986326","FIG00986327: hypothetical protein"
"3324","proteobacteria","FIG00481754","FIG00481755: hypothetical protein"
"3325","proteobacteria","FIG00481755","FIG00481759: hypothetical protein"
"3326","proteobacteria","FIG00524077","Nitrilase (EC 3.5.5.1)"
"3327","proteobacteria","FIG01406890","FIG00441814: hypothetical protein"
"3328","proteobacteria","FIG00904518","FIG074102: hypothetical protein"
"3329","proteobacteria","FIG01573791","probable glucosyl transferase"
"3330","proteobacteria","FIG00791978",NA
"3331","proteobacteria","FIG00483061","FIG00483063: hypothetical protein"
"3332","proteobacteria","FIG00440872","FIG00440873: hypothetical protein"
"3333","proteobacteria","FIG00792993","FIG00792994: hypothetical protein"
"3334","proteobacteria","FIG00792664",NA
"3335","proteobacteria","FIG00148600","Regulatory protein of benzoate catabolism"
"3336","proteobacteria","FIG00475620","PAS/PAC sensor signal transduction histidine kinase"
"3337","proteobacteria","FIG00455886","FIG00455890: hypothetical protein"
"3338","proteobacteria","FIG01002648","putative cytochrome c1 signal peptide protein"
"3339","proteobacteria","FIG01587683","FIG00347713: hypothetical protein"
"3340","proteobacteria","FIG01004496","blr4679; hypothetical protein"
"3341","proteobacteria","FIG01004491","Bll0142 protein"
"3342","proteobacteria","FIG00983826","FIG01076045: hypothetical protein"
"3343","proteobacteria","FIG01004722","Bll5850 protein"
"3344","proteobacteria","FIG00006507","Putative SAM-dependent methyltransferase Bucepa02006346"
"3345","proteobacteria","FIG00439654","FIG00439656: hypothetical protein"
"3346","proteobacteria","FIG00439657","FIG00439658: hypothetical protein"
"3347","proteobacteria","FIG01429581","Putative hydroxybenzoate transporter"
"3348","proteobacteria","FIG00453499","FIG00453500: hypothetical protein"
"3349","proteobacteria","FIG00481159","FIG00481161: hypothetical protein"
"3350","proteobacteria","FIG00149539","Lysophospholipid acyltransferase"
"3351","proteobacteria","FIG01277399","PROBABLE TRANSCRIPTION REGULATOR PROTEIN"
"3352","proteobacteria","FIG00443362","bll5454; hypothetical protein"
"3353","proteobacteria","FIG01650667","FIG00364422: hypothetical protein"
"3354","proteobacteria","FIG00459083","FIG00459084: hypothetical protein"
"3355","proteobacteria","FIG01385072","Transglutaminase-like domain"
"3356","proteobacteria","FIG00793476","FIG00793478: hypothetical protein"
"3357","proteobacteria","FIG00732718","probable phosphoglycerate mutase"
"3358","proteobacteria","FIG00948612","OsmC/Ohr family protein"
"3359","proteobacteria","FIG00439515","FIG00439516: hypothetical protein"
"3360","proteobacteria","FIG00985410","FIG00985411: hypothetical protein"
"3361","proteobacteria","FIG00480819","FIG00480822: hypothetical protein"
"3362","proteobacteria","FIG01004916","FIG01004919: hypothetical protein"
"3363","proteobacteria","FIG01403516","esterase/lipase/thioesterase family protein"
"3364","proteobacteria","FIG01323908","ComA-related protein"
"3365","proteobacteria","FIG00030491","FIGfam138462: Acyl-CoA synthetase, AMP-(fatty) acid ligase"
"3366","proteobacteria","FIG00824697","FIG00824701: hypothetical protein"
"3367","proteobacteria","FIG00006962","NAD-reducing hydrogenase subunit HoxY (EC 1.12.1.2)"
"3368","proteobacteria","FIG00483315","FIG00483317: hypothetical protein"
"3369","proteobacteria","FIG00793678","metalloprotease transporter"
"3370","proteobacteria","FIG01513992","adenylate cyclase"
"3371","proteobacteria","FIG01392094","putative spermidine synthase"
"3372","proteobacteria","FIG00482087","FIG00482091: hypothetical protein"
"3373","proteobacteria","FIG00482081","FIG00482083: hypothetical protein"
"3374","proteobacteria","FIG00481262","FIG00481264: hypothetical protein"
"3375","proteobacteria","FIG00482554","FIG00482557: hypothetical protein"
"3376","proteobacteria","FIG00481191","sensory box histidine kinase, putative"
"3377","proteobacteria","FIG00793945","FIG00793946: hypothetical protein"
"3378","proteobacteria","FIG01272192","Sulfate transport system permease protein CysW"
"3379","proteobacteria","FIG00795309","FIG00795310: hypothetical protein"
"3380","proteobacteria","FIG00453192","FIG00453193: hypothetical protein"
"3381","proteobacteria","FIG00453225","FIG00453226: hypothetical protein"
"3382","proteobacteria","FIG00025233","FIG025233: SAM-dependent methyltransferases"
"3383","proteobacteria","FIG00983508","FIG00983509: hypothetical protein"
"3384","proteobacteria","FIG00983502","putative GerE/LuxR family transcriptional regulator"
"3385","proteobacteria","FIG00983501","putative glutathione-dependent formaldehyde-activating enzyme"
"3386","proteobacteria","FIG00482075","FIG00482076: hypothetical protein"
"3387","proteobacteria","FIG01601962","FIG00487463: hypothetical protein"
"3388","proteobacteria","FIG00000423","Dethiobiotin synthetase (EC 6.3.3.3)"
"3389","proteobacteria","FIG00000429","Inorganic pyrophosphatase (EC 3.6.1.1)"
"3390","proteobacteria","FIG01330796","DGPFAETKE domain protein"
"3391","proteobacteria","FIG01694697","rhomboid family protein"
"3392","proteobacteria","FIG00442283","Hydrogenase maturation protein HupF/HypC/HoxL"
"3393","proteobacteria","FIG00001294","Adenylate cyclase (EC 4.6.1.1)"
"3394","proteobacteria","FIG00794811","FIG00794812: hypothetical protein"
"3395","proteobacteria","FIG00441166","FIG00441167: hypothetical protein"
"3396","proteobacteria","FIG01461712","putative periplasmic membrane protein"
"3397","proteobacteria","FIG01763355","Transposase for insertion sequences IS1326/IS1353"
"3398","proteobacteria","FIG01520476","Oxidoreductase, 2OG-Fe(II) oxygenase family"
"3399","proteobacteria","FIG00484064","FIG00484065: hypothetical protein"
"3400","proteobacteria","FIG00482459","FIG00482463: hypothetical protein"
"3401","proteobacteria","FIG00793235","FIG00793236: hypothetical protein"
"3402","proteobacteria","FIG00480767","FIG00480768: hypothetical protein"
"3403","proteobacteria","FIG00452693","FIG00452694: hypothetical protein"
"3404","proteobacteria","FIG00078081","Glutamine synthetase type II, eukaryotic (EC 6.3.1.2)"
"3405","proteobacteria","FIG00984033","FIG00984034: hypothetical protein"
"3406","proteobacteria","FIG00121082","Ubiquinol--cytochrome c reductase, cytochrome B subunit (EC 1.10.2.2) / ubiquinol cytochrome C oxidoreductase, cytochrome C1 subunit"
"3407","proteobacteria","FIG00456721","FIG00456722: hypothetical protein"
"3408","proteobacteria","FIG00439504","FIG00439505: hypothetical protein"
"3409","proteobacteria","FIG00006396","Transport ATP-binding protein CydCD"
"3410","proteobacteria","FIG00006395","Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)"
"3411","proteobacteria","FIG00481565","FIG00481569: hypothetical protein"
"3412","proteobacteria","FIG00001559","N-formylglutamate deformylase (EC 3.5.1.68)"
"3413","proteobacteria","FIG00445840","InterPro IPR001687:IPR003439:IPR003593 COGs COG0410"
"3414","proteobacteria","FIG00453093","Putative lipopolysaccharide heptosyltransferase I"
"3415","proteobacteria","FIG00443610","Bll0096 protein"
"3416","proteobacteria","FIG00792707","FIG00792709: hypothetical protein"
"3417","proteobacteria","FIG00795126","FIG00795132: hypothetical protein"
"3418","proteobacteria","FIG00484187","FIG00484190: hypothetical protein"
"3419","proteobacteria","FIG00481601","FIG00481602: hypothetical protein"
"3420","proteobacteria","FIG01306896","Hydrogenase maturation factor HoxQ"
"3421","proteobacteria","FIG00001245","Hemoglobin-like protein HbO"
"3422","proteobacteria","FIG01004995","FIG01004998: hypothetical protein"
"3423","proteobacteria","FIG01006731","Bll5330 protein"
"3424","proteobacteria","FIG00983902","FIG00983903: hypothetical protein"
"3425","proteobacteria","FIG00001393","Sensor histidine kinase PrrB (RegB) (EC 2.7.3.-)"
"3426","proteobacteria","FIG01211988","FIG01211989: hypothetical protein"
"3427","proteobacteria","FIG00439754","NAD/NADP dependent oxidoreductase"
"3428","proteobacteria","FIG01004384","bll1234; putative hydolase"
"3429","proteobacteria","FIG00032108","Enoyl-[acyl-carrier-protein] reductase [NADPH] (EC 1.3.1.10)"
"3430","proteobacteria","FIG00931225",NA
"3431","proteobacteria","FIG00985960","FIG00985961: hypothetical protein"
"3432","proteobacteria","FIG00966249","FIG00966252: hypothetical protein"
"3433","proteobacteria","FIG01007923","InterPro IPR006683"
"3434","proteobacteria","FIG01415487","putative beta (1-6) glucans synthase"
"3435","proteobacteria","FIG00794417","4-pyridoxic acid dehydrogenase / 3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)"
"3436","proteobacteria","FIG01613711","FIG01003589: hypothetical protein"
"3437","proteobacteria","FIG00794475","FIG00794478: hypothetical protein"
"3438","proteobacteria","FIG00482826","FIG00482831: hypothetical protein"
"3439","proteobacteria","FIG00455455","FIG00455458: hypothetical protein"
"3440","proteobacteria","FIG01399585","COG1664: Integral membrane protein CcmA involved in cell shape determination"
"3441","proteobacteria","FIG00983587","Oligopeptide ABC transporter, permease protein"
"3442","proteobacteria","FIG00002866","NAD-dependent formate dehydrogenase delta subunit"
"3443","proteobacteria","FIG01005851","InterPro IPR003829 COGs COG1741"
"3444","proteobacteria","FIG01213134","Phosphoanhydride phosphohydrolase"
"3445","proteobacteria","FIG00022740","Phosphate transport regulator (distant homolog of PhoU)"
"3446","proteobacteria","FIG01349555","Cupin domain-containing protein"
"3447","proteobacteria","FIG01366995","hypothetical oxidoreductase"
"3448","proteobacteria","FIG00482911","FIG00482913: hypothetical protein"
"3449","proteobacteria","FIG00793028","FIG00793031: hypothetical protein"
"3450","proteobacteria","FIG01377952","Glutathione S-transferase"
"3451","proteobacteria","FIG00793023","FIG00793024: hypothetical protein"
"3452","proteobacteria","FIG00793020","FIG00793021: hypothetical protein"
"3453","proteobacteria","FIG00984912","putative transmembrane sortase-like protein"
"3454","proteobacteria","FIG00481884","FIG00481885: hypothetical protein"
"3455","proteobacteria","FIG00480822","FIG00480823: hypothetical protein"
"3456","proteobacteria","FIG00795262","FIG00795263: hypothetical protein"
"3457","proteobacteria","FIG00139726","Predicted L-arabinose ABC transport system, ATP-binding protein"
"3458","proteobacteria","FIG01593553","Nuclease inhibitor"
"3459","proteobacteria","FIG00453309","FIG00453310: hypothetical protein"
"3460","proteobacteria","FIG00555762","FIG00555764: hypothetical protein"
"3461","proteobacteria","FIG01212274","FIG01212275: hypothetical protein"
"3462","proteobacteria","FIG01324438","MutT-like protein"
"3463","proteobacteria","FIG00859776","FIG00859786: hypothetical protein"
"3464","proteobacteria","FIG00137145","Uroporphyrinogen-III methyltransferase (EC 2.1.1.107) / Uroporphyrinogen-III synthase (EC 4.2.1.75)"
"3465","proteobacteria","FIG01471256","ABC TRANSPORTER SUBSTRATE-BINDING PROTEIN"
"3466","proteobacteria","FIG01828631","FIG01074915: hypothetical protein"
"3467","proteobacteria","FIG00792525","FIG00792526: hypothetical protein"
"3468","proteobacteria","FIG00457117","Hypothetical secreted protein"
"3469","proteobacteria","FIG01334506","Sigma-24 (FecI)"
"3470","proteobacteria","FIG00097706","bll7545; putative esterase"
"3471","proteobacteria","FIG00793781","FIG00793782: hypothetical protein"
"3472","proteobacteria","FIG00480932","FIG00480934: hypothetical protein"
"3473","proteobacteria","FIG00018129","Predicted secretion system X pseudopilin PulG-like"
"3474","proteobacteria","FIG00793251","FIG00793252: hypothetical protein"
"3475","proteobacteria","FIG00458155","FIG00458156: hypothetical protein"
"3476","proteobacteria","FIG00798637","Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase related protein"
"3477","proteobacteria","FIG01648014","NADPH-cytochrome P450 reductase"
"3478","proteobacteria","FIG00792123","FIG00792124: hypothetical protein"
"3479","proteobacteria","FIG00481680",NA
"3480","proteobacteria","FIG00481687","FIG00481689: hypothetical protein"
"3481","proteobacteria","FIG00482791","FIG00482792: hypothetical protein"
"3482","proteobacteria","FIG00452773",NA
"3483","proteobacteria","FIG01399988","DUF209:Cupin domain"
"3484","proteobacteria","FIG01004682","bll1533; putative methyl accepting chemotaxis protein"
"3485","proteobacteria","FIG00456641","FIG00456642: hypothetical protein"
"3486","proteobacteria","FIG00009640","Benzoyl-CoA-dihydrodiol lyase (EC 4.1.2.44)"
"3487","proteobacteria","FIG00003428","Formate hydrogenlyase subunit 7"
"3488","proteobacteria","FIG01502997","Putative glutathione S-transferase (EC 2.5.1.18)"
"3489","proteobacteria","FIG00461627","FIG00461631: hypothetical protein"
"3490","proteobacteria","FIG00481532","FIG00481534: hypothetical protein"
"3491","proteobacteria","FIG00481444","FIG00481445: hypothetical protein"
"3492","proteobacteria","FIG00481449","FIG00481453: hypothetical protein"
"3493","proteobacteria","FIG00459124","FIG00459125: hypothetical protein"
"3494","proteobacteria","FIG00035092","2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)"
"3495","proteobacteria","FIG00795593","Carbamoyltransferase"
"3496","proteobacteria","FIG01647609","probable sugar transferase"
"3497","proteobacteria","FIG00138953","Hydrogenase-4 component E"
"3498","proteobacteria","FIG00794218",NA
"3499","proteobacteria","FIG01316103","RND efflux system, outer membrane lipoprotein, NodT precursor"
"3500","proteobacteria","FIG00482207","flagellin modification protein, putative"
"3501","proteobacteria","FIG01282474","aconitate hydratase 1( EC:4.2.1.3 )"
"3502","proteobacteria","FIG00986822","probable serine/threonine specific protein phosphatase protein( EC:3.1.3.16 )"
"3503","proteobacteria","FIG00986823","FIG00986824: hypothetical protein"
"3504","proteobacteria","FIG00009485","Coenzyme PQQ synthesis protein B"
"3505","proteobacteria","FIG01351990","Oxalate/formate antiporter"
